feature	component	loading	boot_mean	boot_sd	stability
TraesCAD_scaffold_027607_01G000200	1	0.0374120883070903	0.03737551791668	0.00061832874601687	1
TraesCAD_scaffold_056284_01G000100	1	0.0384806914254446	0.0384698023249535	0.00115522287402657	1
TraesCAD_scaffold_003982_01G000500	1	0.0381231838891134	0.0380515972229949	0.000925294753796001	1
TraesCAD_scaffold_000331_01G000500	1	0.0344725505179841	0.0345084778407988	0.00187244308323572	1
TraesCAD_scaffold_009189_01G000100	1	0.0336146216830833	0.0337640642913356	0.00111068552052249	1
TraesCAD_scaffold_002505_01G000200	1	0.0379454505204348	0.0379061848107957	0.00102714896097758	1
TraesCAD_scaffold_017224_01G000200	1	0.0269633837058684	0.0272572697527358	0.00157475091805995	1
TraesCAD_scaffold_042728_01G000100	1	0.0353793031209816	0.035433600086863	0.00137304303387515	1
TraesCAD_scaffold_063548_01G000200	1	0.0379670951099424	0.0380801072015846	0.00225362932019528	1
TraesCAD_scaffold_002370_01G000300	1	0.0363153458548798	0.0363300405730014	0.00086734966957608	1
TraesCAD_scaffold_031796_01G000100	1	0.0351024695716386	0.0352011579563674	0.002160845306103	1
TraesCAD_scaffold_132919_01G000100	1	0.0374989162473603	0.0374796547740377	0.00106203953301964	1
TraesCAD_scaffold_009498_01G000200	1	0.0377123189642502	0.0376873659210632	0.00174236876605099	1
TraesCAD_scaffold_104941_01G000200	1	0.0373281327481634	0.037259362610468	0.00121780416306217	1
TraesCAD_scaffold_109460_01G000200	1	0.0395777533883454	0.0394475511555278	0.000980918254033537	1
TraesCAD_scaffold_022764_01G000300	1	0.0369987797942524	0.0369650136832508	0.000804573550988749	1
TraesCAD_scaffold_001618_01G000300	1	0.0356724408733453	0.0357213652252571	0.00108182580329271	1
TraesCAD_scaffold_037061_01G000200	1	0.0389066826242584	0.0387791813175922	0.000812387581441059	1
TraesCAD_scaffold_113458_01G000300	1	0.0339630268229871	0.0339556193408879	0.00184174420878065	1
TraesCAD_scaffold_006089_01G000300	1	0.0376680677892317	0.0377754118745102	0.00120468415004868	1
TraesCAD_scaffold_784555_01G000100	1	0.0365518871540036	0.0366770891225791	0.00194712468244618	1
TraesCAD_scaffold_092477_01G000100	1	0.0361786652421484	0.0361908551350161	0.00121063499536996	1
TraesCAD_scaffold_055660_01G000100	1	0.0309161991851318	0.031072455845942	0.00140856728956506	1
TraesCAD_scaffold_027786_01G000400	1	0.0352756246303251	0.0353552578584856	0.00104899660112348	1
TraesCAD_scaffold_142789_01G000100	1	0.0367557581199971	0.036701089633631	0.000798137158318603	1
TraesCAD_scaffold_009498_01G000100	1	0.037534877133989	0.0375096168638232	0.00208376642250133	1
TraesCAD_scaffold_086159_01G000100	1	0.0190696701792292	0.0194635516299928	0.00255205001612093	1
TraesCAD_scaffold_011809_01G000300	1	-0.0196257435133608	-0.0194415270479397	0.00139684301551852	1
TraesCAD_scaffold_024473_01G000200	1	0.0334105143099012	0.0336494526267109	0.00142110011136527	1
TraesCAD_scaffold_080274_01G000300	1	0.0266169548838386	0.0263663552995138	0.00290055185464296	1
TraesCAD_scaffold_066243_01G000300	1	0.0369782017060729	0.0369932824037882	0.000758228959079018	1
TraesCAD_scaffold_029735_01G000400	1	0.030427927574753	0.030650729736824	0.0014530164831444	1
TraesCAD_scaffold_011627_01G000300	1	0.0354499420192354	0.0353683947975587	0.000851807149270006	1
TraesCAD_scaffold_113922_01G000200	1	0.0339128734240757	0.0339084656042801	0.0010143901176013	1
TraesCAD_scaffold_042793_01G000600	1	0.0381900468438282	0.0377696429213391	0.0016738755688273	1
TraesCAD_scaffold_102359_01G000100	1	0.0296181087572616	0.0298220917926439	0.0016584597901148	1
