feature	loading	boot_mean	boot_sd	stability
TraesCAD_scaffold_079999_01G000400	0.0938143310516592	0.035974693196565	0.809808720107239	0.57
TraesCAD_scaffold_049886_01G000200	-0.247637068449646	0.0126070266562787	0.903152724581551	0.54
TraesCAD_scaffold_001384_01G000100	-0.953398748795046	0.0778958900209748	0.83807900623093	0.46
TraesCAD_scaffold_028045_01G000100	1.45108370907631	0.0692456514688545	0.848209613581487	0.51
TraesCAD_scaffold_091888_01G000100	2.03302866672894	-0.0524163698674281	0.88647034954344	0.52
TraesCAD_scaffold_097456_01G000100	0.387112938516149	-0.0887485521747668	0.892712941203441	0.47
TraesCAD_scaffold_001422_01G000100	-0.721964412710954	0.134975804211988	0.791657779790329	0.38
TraesCAD_scaffold_001429_01G000300	-0.672171462237382	0.186905752748534	0.959365245754112	0.42
TraesCAD_scaffold_001434_01G000400	-0.925214688855205	0.11184209178497	0.91274139516685	0.42
TraesCAD_scaffold_001455_01G000200	-0.0248053786692997	0.0680838050765955	0.851376875308504	0.54
TraesCAD_scaffold_001463_01G000200	-0.267803914731285	0.10712547763474	0.910453595595748	0.5
TraesCAD_scaffold_001463_01G000400	1.2855674371831	-0.10525825780453	0.857904940575312	0.42
TraesCAD_scaffold_001468_01G000300	0.16335672175688	0.152562182054168	0.8264174275871	0.59
TraesCAD_scaffold_001469_01G001200	0.134520646795034	-0.0978004642571562	0.93407493693261	0.46
TraesCAD_scaffold_006068_01G000600	-1.10829667094284	0.0398731188869384	0.690782844271102	0.52
TraesCAD_scaffold_146404_01G000200	-1.46259152786429	0.158782382871455	0.883649111051261	0.42
TraesCAD_scaffold_091177_01G000200	-1.40848523724095	-0.0624086561765249	0.887668517226745	0.51
TraesCAD_scaffold_001480_01G000500	0.871395745805664	0.0426856253249095	0.89550612742767	0.55
TraesCAD_scaffold_049584_01G000200	0.0570772834400739	0.0560892571434632	0.888150167458301	0.54
TraesCAD_scaffold_001491_01G000300	-0.41324179430656	0.0852505665685428	0.881086560109682	0.45
TraesCAD_scaffold_073199_01G000400	0.0554774949626581	0.0826333734521335	0.717885361875323	0.48
TraesCAD_scaffold_009017_01G000400	-0.365698586625759	0.0473328454985398	0.780436626440868	0.46
TraesCAD_scaffold_001502_01G000800	0.00242933862176301	0.0216750471830924	0.849053676383697	0.54
TraesCAD_scaffold_001515_01G000100	-0.197956258490607	0.0669791173728138	0.826616645951919	0.5
TraesCAD_scaffold_001578_01G000200	-0.167655133574542	-0.0113463855975017	0.778806109583398	0.5
TraesCAD_scaffold_001580_01G000100	0.0258466902841566	0.063286806134676	0.879302428288448	0.5
TraesCAD_scaffold_001592_01G000400	0.553717612155873	0.0777853451438516	1.00146515096502	0.47
TraesCAD_scaffold_021128_01G000100	-0.724503964092495	-0.0530891880780475	0.913570605828771	0.48
TraesCAD_scaffold_022653_01G000100	-0.831925179359067	0.0836069874662192	0.66489432656189	0.47
TraesCAD_scaffold_001648_01G000300	0.790318284098274	-0.0100222927513852	0.877572193344333	0.5
TraesCAD_scaffold_066420_01G000100	-0.0635751938279934	-0.0556819965804604	0.819593066238261	0.56
TraesCAD_scaffold_001656_01G000100	1.84386461541857	-0.115983912792136	0.895084309568355	0.46
TraesCAD_scaffold_082613_01G000300	-0.267835433148195	0.158897139081964	0.925681560092516	0.41
TraesCAD_scaffold_001680_01G000100	0.485195071622156	-0.0653124144547298	0.876279028689994	0.5
TraesCAD_scaffold_001680_01G000200	0.554327580304978	-0.0595288908995747	0.837661771826677	0.5
TraesCAD_scaffold_001683_01G000100	-0.0217811394316312	-0.0826209868238344	0.836329613469662	0.52
TraesCAD_scaffold_001685_01G000200	0.0337847927547688	0.0277266808440533	0.878028484703705	0.59
TraesCAD_scaffold_138573_01G000100	-0.286233696943141	-0.0163933242699765	0.874272911483788	0.41
TraesCAD_scaffold_001691_01G000600	-0.825972319377208	-0.00160015986674986	0.919732720901993	0.53
TraesCAD_scaffold_001695_01G000300	-0.936343480330917	0.0438683524457007	0.828944858797928	0.48
TraesCAD_scaffold_004216_01G000400	1.20964299025918	-0.0379298586431166	0.746952750415532	0.55
TraesCAD_scaffold_013041_01G000100	1.04908768604579	-0.0671950707768964	0.81256290141264	0.57
TraesCAD_scaffold_001704_01G000200	0.0538007132824276	0.0815072073591233	0.983596449945141	0.51
TraesCAD_scaffold_001706_01G000300	0.0560063237919949	-0.119188586514342	0.953377669097366	0.45
TraesCAD_scaffold_077056_01G000100	-0.148086727165463	-0.0462324267989665	0.907623825909027	0.54
TraesCAD_scaffold_051426_01G000100	0.00195362905288826	-0.0372732759307677	0.842654115665692	0.55
TraesCAD_scaffold_001778_01G000200	-0.00948124970889403	0.0561523332926206	0.763381324872504	0.48
TraesCAD_scaffold_023669_01G000300	0.0125074155873368	-0.0587986355880617	0.930575970587444	0.52
TraesCAD_scaffold_001804_01G000200	-0.558943166086165	0.0669923900112671	0.894043580624153	0.46
