feature	component	loading	boot_mean	boot_sd	stability
TraesCAD_scaffold_000899_01G000300	1	-0.000620150325995912	-0.000764333403863448	0.0016350032321876	0.67
TraesCAD_scaffold_123937_01G000100	1	-0.00172606792269806	-0.00160851038450869	0.000882141149526439	0.975
TraesCAD_scaffold_065596_01G000100	1	-0.000595030499431505	-0.000443894148128124	0.00215406243027163	0.61
TraesCAD_scaffold_000911_01G000500	1	0.00398565027020904	0.00380376285651961	0.000970522444411105	1
TraesCAD_scaffold_090095_01G000100	1	0.00498793195300943	0.00482819665630292	0.00133238492209573	1
TraesCAD_scaffold_000927_01G000100	1	-0.00675993083795812	-0.00652677398088085	0.00134954260580677	1
TraesCAD_scaffold_000928_01G000200	1	-0.0127442148040567	-0.012386248785454	0.00253811942852375	1
TraesCAD_scaffold_000962_01G000200	1	0.0075011862671128	0.00719464760923362	0.00406795390663323	0.98
TraesCAD_scaffold_145775_01G000100	1	-0.00519514487997546	-0.00500203266095426	0.000967139428605307	1
TraesCAD_scaffold_000972_01G000400	1	0.0110408508390975	0.0109298759790419	0.00139671553104245	1
TraesCAD_scaffold_000975_01G000100	1	0.0161802389176203	0.0159317280581203	0.000953727411692855	1
TraesCAD_scaffold_000984_01G000100	1	-0.00334816248268632	-0.003289790731717	0.00100192486058827	1
TraesCAD_scaffold_000998_01G000300	1	-0.00985785740690583	-0.00935814134274837	0.00940473381963893	0.85
TraesCAD_scaffold_000998_01G001200	1	-0.00738740385013216	-0.00716518262558838	0.000861163847843069	1
TraesCAD_scaffold_000998_01G001600	1	-0.00979925037939781	-0.0101067966605767	0.00612453310222161	0.965
TraesCAD_scaffold_021487_01G000100	1	0.0214182904101338	0.0210504380842671	0.00130145309978936	1
TraesCAD_scaffold_001004_01G000100	1	0.0141745639984389	0.0141647956238861	0.00395002063843334	1
TraesCAD_scaffold_126523_01G000100	1	0.000612742612964496	0.000572482614250995	0.00174061758365994	0.635
TraesCAD_scaffold_001021_01G000100	1	0.00819319589646372	0.00801202934212801	0.00176483832766965	1
TraesCAD_scaffold_082131_01G000100	1	-0.00493947882057457	-0.00483316065738285	0.000530236186972894	1
TraesCAD_scaffold_077161_01G000100	1	0.00798987978460065	0.00771143029247221	0.00159969432863885	1
TraesCAD_scaffold_001033_01G000400	1	-0.0064791512316097	-0.00624471349350612	0.00142876523586835	1
TraesCAD_scaffold_001048_01G000300	1	0.0310745447136314	0.0303986836273533	0.0030989911106909	1
TraesCAD_scaffold_005880_01G000200	1	-0.00416039320227251	-0.00398075236474196	0.000827527388934359	1
TraesCAD_scaffold_001052_01G000100	1	-0.00223919123942909	-0.00211995382144433	0.000601848194674356	1
TraesCAD_scaffold_001052_01G000200	1	-0.00700666462092982	-0.00678018011686677	0.00134393087759796	1
TraesCAD_scaffold_001053_01G000400	1	0.0697932806174595	0.0690311446498404	0.00340591290249382	1
TraesCAD_scaffold_001059_01G000100	1	-0.000283197917526255	-0.000245736717844049	0.00128800352122672	0.55
TraesCAD_scaffold_006297_01G000500	1	-0.00347734639918997	-0.00329192381023665	0.00102595346881017	1
