pathway	pval	padj	log2err	ES	NES	size	leadingEdge
protein.degradation	0.95004995004995	1	0.0104610403416792	0.184092383274905	0.651728923762719	56	traescad_scaffold_111685_01g000100;traescad_scaffold_003410_01g000100;traescad_scaffold_058274_01g000200;traescad_scaffold_092558_01g000100;traescad_scaffold_017193_01g000200;traescad_scaffold_039356_01g000700;traescad_scaffold_051719_01g000300;traescad_scaffold_093500_01g000400;traescad_scaffold_020766_01g000100;traescad_scaffold_001226_01g000100;traescad_scaffold_020027_01g000200;traescad_scaffold_016013_01g000100;traescad_scaffold_027235_01g000200;traescad_scaffold_001889_01g000100;traescad_scaffold_080905_01g000400;traescad_scaffold_001851_01g000300;traescad_scaffold_034790_01g000200;traescad_scaffold_095177_01g000100;traescad_scaffold_062470_01g000300;traescad_scaffold_007439_01g000500;traescad_scaffold_010188_01g000200;traescad_scaffold_024179_01g000100;traescad_scaffold_109130_01g000100;traescad_scaffold_178278_01g000100;traescad_scaffold_085142_01g000300;traescad_scaffold_036151_01g000300;traescad_scaffold_059686_01g000100
protein.degradation.AAA type	0.772227772227772	1	0.0247790185105207	0.267166029750298	0.71646434660811	8	traescad_scaffold_024006_01g000100;traescad_scaffold_031460_01g000100;traescad_scaffold_099255_01g000100;traescad_scaffold_034316_01g000900;traescad_scaffold_065134_01g000500;traescad_scaffold_052131_01g000400;traescad_scaffold_058744_01g000100;traescad_scaffold_053822_01g000300
protein.degradation.aspartate protease	0.57042957042957	1	0.0395979123961192	0.358056110618541	0.933586586631211	7	traescad_scaffold_026604_01g000500;traescad_scaffold_029720_01g000500;traescad_scaffold_086446_01g000400;traescad_scaffold_001948_01g000100
protein.degradation.cysteine protease	0.302697302697303	0.844686563436563	0.0692836467392548	0.364101891358417	1.15934189441409	22	traescad_scaffold_025051_01g000100;traescad_scaffold_079915_01g000200;traescad_scaffold_162456_01g000100;traescad_scaffold_105456_01g000100;traescad_scaffold_039371_01g000100;traescad_scaffold_091516_01g000400;traescad_scaffold_029418_01g000200;traescad_scaffold_010681_01g000100;traescad_scaffold_022005_01g000100;traescad_scaffold_048508_01g000400
protein.degradation.metalloprotease	0.512487512487512	1	0.0445070537769277	0.306477371036409	0.993440459667727	25	traescad_scaffold_086045_01g000100;traescad_scaffold_018461_01g000500;traescad_scaffold_064935_01g000700
protein.degradation.serine protease	0.611388611388611	1	0.0363783055518278	0.268889088196724	0.934595421347313	47	traescad_scaffold_004491_01g000100;traescad_scaffold_061872_01g000400;traescad_scaffold_027528_01g000100;traescad_scaffold_070159_01g000200;traescad_scaffold_066027_01g000100;traescad_scaffold_048929_01g000100;traescad_scaffold_011889_01g000200;traescad_scaffold_091993_01g000100;traescad_scaffold_000354_01g000300;traescad_scaffold_070268_01g000200;traescad_scaffold_029472_01g000100;traescad_scaffold_090143_01g000100;traescad_scaffold_039842_01g000100;traescad_scaffold_087509_01g000200;traescad_scaffold_011426_01g000200;traescad_scaffold_122318_01g000300;traescad_scaffold_057016_01g000100;traescad_scaffold_020692_01g000100;traescad_scaffold_071354_01g000100;traescad_scaffold_036179_01g000100;traescad_scaffold_053824_01g000800;traescad_scaffold_084664_01g000100;traescad_scaffold_025965_01g000200
protein.degradation.subtilases	0.0569430569430569	0.378692735835593	0.186432558434075	0.548294434470377	1.5393888378195	10	traescad_scaffold_047533_01g000200;traescad_scaffold_031509_01g000100;traescad_scaffold_057435_01g000100;traescad_scaffold_048686_01g000100;traescad_scaffold_093044_01g000100;traescad_scaffold_106192_01g000100;traescad_scaffold_030724_01g000200;traescad_scaffold_083344_01g000200;traescad_scaffold_157333_01g000100;traescad_scaffold_099570_01g000100
protein.degradation.ubiquitin	0.513486513486514	1	0.0444181153081573	0.328902044127783	1.00414550633542	17	traescad_scaffold_056591_01g000400;traescad_scaffold_019864_01g000500;traescad_scaffold_063650_01g000200
protein.degradation.ubiquitin.E2	0.605394605394605	1	0.0368389606870506	0.372394483887264	0.913810294776158	5	traescad_scaffold_121972_01g000100;traescad_scaffold_103373_01g000100;traescad_scaffold_028372_01g000100;traescad_scaffold_082260_01g000300
protein.degradation.ubiquitin.E3.RING	0.898101898101898	1	0.0153676328786693	0.192577229933661	0.472560853791082	5	traescad_scaffold_028384_01g000300;traescad_scaffold_075314_01g000100;traescad_scaffold_089927_01g000100;traescad_scaffold_030970_01g000400;traescad_scaffold_067015_01g000200
