pathway	pval	padj	log2err	ES	NES	size	leadingEdge
not assigned.no ontology.pentatricopeptide (PPR) repeat-containing protein	0.757242757242757	1	0.0258331720982323	0.262463011225177	0.787863573951042	17	traesnor4d03g02541570;traesnor4d03g02511610;traesnor2d03g01224640;traesnor3a03g01383320;traesnor6d03g03779910;traesnor3d03g01860620;traesnor4b03g02335660
not assigned.no ontology.tetratricopeptide repeat (TPR)	0.828171828171828	1	0.0207818350435559	0.235306696821919	0.66796630132243	12	traesnor2a03g00823840;traesnor4a03g02084910;traesnor5b03g02968260;traesnor3a03g01464990;traesnor3a03g01464880;traesnor3a03g01328800;traesnor3b03g01708780;traesnor2d03g01297800;traesnor2a03g00695750;traesnor6a03g03402190;traesnor5d03g03079740
nucleotide metabolism.degradation	0.470529470529471	0.974570883661793	0.0484087618816951	0.3812749740355	1.03539351070129	9	traesnor4d03g02579840;traesnor6a03g03383490;traesnor2d03g01129020;traesnor3d03g01928370;traesnor3a03g01488860;traesnor2b03g00921880
nucleotide metabolism.phosphotransfer and pyrophosphatases.misc	0.693306693306693	1	0.0303467275556782	0.310643095470605	0.787615799579191	6	traesnor6a03g03390360;traesnor2a03g00821070;traesnor6a03g03398900;traesnor6d03g03812330;traesnor6b03g03635060
protein.aa activation	0.923076923076923	1	0.0131702144400005	0.162235590917912	0.411338016276962	6	traesnor3d03g01937980;traesnor3d03g01958450;traesnor3a03g01478200;traesnor3d03g02026180;traesnor5d03g03097320
protein.aa activation.glycine-tRNA ligase	0.544455544455544	0.9766403808957	0.0417397034728504	0.390162103518557	0.964140818054953	5	traesnor4a03g02238190;traesnor7a03g03849980;traesnor7b03g04160390;traesnor7a03g03941470;traesnor2a03g00722620
protein.assembly and cofactor ligation	0.991008991008991	1	0.00434551079568136	0.0879538834484551	0.261799842980263	16	traesnorun03g04756130;traesnor5d03g03216620;traesnor4b03g02336460;traesnor5a03g02757050;traesnor5b03g02995140;traesnor4a03g02074840;traesnor1d03g00450270;traesnor2d03g01295530;traesnor4d03g02516140;traesnor7d03g04441330;traesnor7d03g04516060;traesnor3d03g02012100;traesnor5d03g03092240
protein.degradation	0.926073926073926	1	0.0128901829648689	0.19901311261933	0.684495675046883	50	traesnor1d03g00488730;traesnor7b03g04289860;traesnor3a03g01472840;traesnor2a03g00738980;traesnor1b03g00242470;traesnor6a03g03339530;traesnor6d03g03744810;traesnor7b03g04120000;traesnor3b03g01718940;traesnor3b03g01710540
protein.degradation.AAA type	0.784215784215784	1	0.0239329549624917	0.266390577596937	0.658285433388398	5	traesnor7d03g04493910;traesnor6d03g03790780;traesnor3d03g01837150;traesnor6d03g03803970
protein.degradation.aspartate protease	0.470529470529471	0.974570883661793	0.0484087618816951	0.396211922278705	1.02553309597943	7	traesnor7a03g04070790;traesnor1b03g00320450;traesnor5a03g02613080;traesnor7d03g04475600
protein.degradation.cysteine protease	0.422577422577423	0.974570883661793	0.053347785067549	0.35200471270129	1.05665057221536	17	traesnor3d03g01909760;traesnor7d03g04542020;traesnor3d03g01954630;traesnor2d03g01265370;traesnor5a03g02753790;traesnor5b03g02920580;traesnor2d03g01137390;traesnor2a03g00801660;traesnor1a03g00142890;traesnor1d03g00539010
protein.degradation.metalloprotease	0.416583416583417	0.974570883661793	0.0540088272801684	0.352215371332259	1.06238509562833	18	traesnor7a03g04074940;traesnor6a03g03413850;traesnor7a03g04044900
protein.degradation.serine protease	0.0769230769230769	0.497041420118343	0.158514105424824	0.404988597993703	1.34685688758065	37	traesnor5b03g02963650;traesnor5d03g03189830;traesnor2b03g00845290;traesnor2a03g00638470;traesnor4a03g02096650;traesnor2a03g00599300;traesnor2d03g01207430;traesnor3b03g01613700;traesnor1a03g00037620;traesnor1b03g00229970;traesnor1d03g00444630;traesnor2b03g00970870;traesnor6b03g03564210;traesnor1a03g00180380;traesnor5d03g03186590;traesnor6a03g03411950;traesnor6d03g03782810;traesnor1b03g00232920;traesnor3a03g01414500;traesnor1d03g00499260
protein.degradation.subtilases	0.644355644355644	1	0.0338984188001938	0.31841586086338	0.876442865327985	10	traesnor4a03g02149120;traesnor5b03g02994020;traesnor6d03g03815780;traesnor4d03g02453710;traesnor4b03g02270250;traesnor6a03g03422530;traesnor6b03g03639580;traesnor6a03g03422470;traesnor1a03g00123750;traesnor1b03g00393390
protein.degradation.ubiquitin	0.996003996003996	1	0.00288973010331959	0.0685141342323355	0.203936300259738	16	traesnor3d03g01948920;traesnor4a03g02056710;traesnor2b03g00974050;traesnor7d03g04513280;traesnor1d03g00501300;traesnor2b03g00949530;traesnor6a03g03269160;traesnor7d03g04524460;traesnor6a03g03296610;traesnor6b03g03457290;traesnor2d03g01298100;traesnor1d03g00570470;traesnor3d03g01830320;traesnor6b03g03575010;traesnor1a03g00098650
