"gene_id","amplitude","regulated","rna_responds","lrt_fdr","lrt_p","archetype","t_half_M1_h","identifiable"
"TraesNOR6D03G03801970",3.17957075294209,FALSE,TRUE,0.923479848044764,0.816383521836562,"kinetics_limited",432,FALSE
"TraesNOR6D03G03802870",-0.0596935081805828,FALSE,TRUE,0.721304530576432,0.461314496725301,"kinetics_limited",12,FALSE
"TraesNOR6D03G03802950",0.0572249574654583,FALSE,TRUE,0.901810270398183,0.758296753825803,"kinetics_limited",12,FALSE
"TraesNOR6D03G03803720",19.7223808179136,FALSE,TRUE,0.537016411357797,0.285111058482071,"concordant",432,TRUE
"TraesNOR6D03G03803850",1.46998957396803,FALSE,FALSE,0.990011860488641,0.98139966311105,"unchanged",73.6516553552258,TRUE
"TraesNOR6D03G03803970",-107.078509938327,FALSE,FALSE,0.0073501713645177,0.00132357224222464,"protein_only",262.291005871647,FALSE
"TraesNOR6D03G03804570",-6.72466149230096,FALSE,FALSE,0.00289116878731973,0.000455931487410919,"protein_only",24.7960071284479,FALSE
"TraesNOR6D03G03804920",2.21408536561515,FALSE,TRUE,0.97763128340066,0.945605757737796,"kinetics_limited",432,FALSE
"TraesNOR6D03G03805030",-0.651581622861218,FALSE,TRUE,0.308622373715863,0.13017295700828,"kinetics_limited",34.0629278088396,FALSE
"TraesNOR6D03G03805160",1.15917969125044,FALSE,TRUE,0.990011860488641,0.983147500460769,"kinetics_limited",432,FALSE
"TraesNOR6D03G03805390",6.81707336824753,FALSE,TRUE,0.67311209711104,0.406694851944105,"kinetic_lag",432,TRUE
"TraesNOR6D03G03805690",-2.17482274928051,FALSE,FALSE,0.317959656611949,0.135893082871883,"protein_only",12,FALSE
"TraesNOR6D03G03806360",1.69337982731042,FALSE,TRUE,0.963629146819455,0.899893162190091,"kinetics_limited",432,FALSE
"TraesNOR6D03G03806530",-5.31733852512581,FALSE,TRUE,0.252509607676214,0.100925530340832,"kinetics_limited",432,FALSE
"TraesNOR6D03G03806900",-0.0294189917519521,FALSE,TRUE,0.975013625912157,0.940427951645453,"kinetics_limited",12,FALSE
"TraesNOR6D03G03807160",73.3808103946681,FALSE,FALSE,0.0919944386040551,0.0278533268268141,"protein_only",432,TRUE
"TraesNOR6D03G03807270",0.819748916038454,FALSE,TRUE,0.464465723300552,0.23119751452526,"concordant",12,TRUE
"TraesNOR6D03G03807430",-36.1679871446155,FALSE,FALSE,0.929331185673725,0.82989509059873,"protein_only",432,TRUE
"TraesNOR6D03G03807770",12.3413958057263,TRUE,TRUE,1.49493825544885e-11,6.72273066997737e-13,"amplified",48.9646018410129,TRUE
"TraesNOR6D03G03808210",2.90740766382955,FALSE,TRUE,0.876106691403725,0.70917431921385,"kinetics_limited",432,FALSE
"TraesNOR6D03G03808750",0.0955099679553791,FALSE,TRUE,0.785951533545861,0.556200979831224,"kinetics_limited",12,FALSE
"TraesNOR6D03G03809020",5.22652611511806,FALSE,TRUE,0.839254085697381,0.639980772591583,"kinetics_limited",432,FALSE
"TraesNOR6D03G03809340",2.22097706278458,FALSE,TRUE,0.982264447309544,0.954857206801434,"kinetic_lag",152.188914267514,TRUE
"TraesNOR6D03G03809720",1.71255245840034,FALSE,TRUE,0.947780019766355,0.864426764572923,"kinetics_limited",432,FALSE
"TraesNOR6D03G03809990",-7.35053024058415,FALSE,FALSE,5.4381241377523e-07,3.91072699187072e-08,"protein_only",48.9646018410129,FALSE
"TraesNOR6D03G03812330",37.5316484664556,FALSE,FALSE,0.69391253904457,0.427995677309522,"protein_only",101.177218024281,TRUE
