"uid","feature","block","cluster","comp","sign"
"prot__TraesCAD_scaffold_074182_01G000100","TraesCAD_scaffold_074182_01G000100","protein","C2+",2,"positive"
"prot__TraesCAD_scaffold_131924_01G000100","TraesCAD_scaffold_131924_01G000100","protein","C1+",1,"positive"
"prot__TraesCAD_scaffold_121429_01G000100","TraesCAD_scaffold_121429_01G000100","protein","C1+",1,"positive"
"prot__TraesCAD_scaffold_018147_01G000200","TraesCAD_scaffold_018147_01G000200","protein","C1+",1,"positive"
"prot__TraesCAD_scaffold_018117_01G000700","TraesCAD_scaffold_018117_01G000700","protein","C2-",2,"negative"
"prot__TraesCAD_scaffold_018129_01G000700","TraesCAD_scaffold_018129_01G000700","protein","C1-",1,"negative"
"prot__TraesCAD_scaffold_109535_01G000100","TraesCAD_scaffold_109535_01G000100","protein","C1+",1,"positive"
"prot__TraesCAD_scaffold_018186_01G000100","TraesCAD_scaffold_018186_01G000100","protein","C2+",2,"positive"
"prot__TraesCAD_scaffold_018187_01G000200","TraesCAD_scaffold_018187_01G000200","protein","C2+",2,"positive"
"prot__TraesCAD_scaffold_086876_01G000200","TraesCAD_scaffold_086876_01G000200","protein","C1+",1,"positive"
"prot__TraesCAD_scaffold_069359_01G000300","TraesCAD_scaffold_069359_01G000300","protein","C1-",1,"negative"
"prot__TraesCAD_scaffold_094454_01G000100","TraesCAD_scaffold_094454_01G000100","protein","C1+",1,"positive"
"prot__TraesCAD_scaffold_018210_01G000300","TraesCAD_scaffold_018210_01G000300","protein","C2-",2,"negative"
"prot__TraesCAD_scaffold_018210_01G000400","TraesCAD_scaffold_018210_01G000400","protein","C1-",1,"negative"
"prot__TraesCAD_scaffold_018220_01G000400","TraesCAD_scaffold_018220_01G000400","protein","C2+",2,"positive"
"prot__TraesCAD_scaffold_018230_01G000100","TraesCAD_scaffold_018230_01G000100","protein","C2-",2,"negative"
"prot__TraesCAD_scaffold_099222_01G000100","TraesCAD_scaffold_099222_01G000100","protein","C1-",1,"negative"
"prot__TraesCAD_scaffold_018262_01G000100","TraesCAD_scaffold_018262_01G000100","protein","C2-",2,"negative"
"prot__TraesCAD_scaffold_114040_01G000100","TraesCAD_scaffold_114040_01G000100","protein","C1+",1,"positive"
"prot__TraesCAD_scaffold_018273_01G000200","TraesCAD_scaffold_018273_01G000200","protein","C2-",2,"negative"
"prot__TraesCAD_scaffold_018289_01G000100","TraesCAD_scaffold_018289_01G000100","protein","C2-",2,"negative"
"prot__TraesCAD_scaffold_018291_01G000100","TraesCAD_scaffold_018291_01G000100","protein","C1-",1,"negative"
"prot__TraesCAD_scaffold_018291_01G000400","TraesCAD_scaffold_018291_01G000400","protein","C2-",2,"negative"
"prot__TraesCAD_scaffold_018292_01G000100","TraesCAD_scaffold_018292_01G000100","protein","C2-",2,"negative"
"prot__TraesCAD_scaffold_018292_01G000200","TraesCAD_scaffold_018292_01G000200","protein","C2-",2,"negative"
"prot__TraesCAD_scaffold_018298_01G000200","TraesCAD_scaffold_018298_01G000200","protein","C1+",1,"positive"
"prot__TraesCAD_scaffold_018299_01G000100","TraesCAD_scaffold_018299_01G000100","protein","C2-",2,"negative"
"prot__TraesCAD_scaffold_018317_01G000100","TraesCAD_scaffold_018317_01G000100","protein","C1+",1,"positive"
"prot__TraesCAD_scaffold_018338_01G000100","TraesCAD_scaffold_018338_01G000100","protein","C2-",2,"negative"
"prot__TraesCAD_scaffold_248669_01G000100","TraesCAD_scaffold_248669_01G000100","protein","C2-",2,"negative"
"prot__TraesCAD_scaffold_018387_01G000400","TraesCAD_scaffold_018387_01G000400","protein","C2+",2,"positive"
"prot__TraesCAD_scaffold_018388_01G000400","TraesCAD_scaffold_018388_01G000400","protein","C1-",1,"negative"
"prot__TraesCAD_scaffold_018432_01G000100","TraesCAD_scaffold_018432_01G000100","protein","C2-",2,"negative"
"prot__TraesCAD_scaffold_018437_01G000300","TraesCAD_scaffold_018437_01G000300","protein","C2-",2,"negative"
"prot__TraesCAD_scaffold_018461_01G000500","TraesCAD_scaffold_018461_01G000500","protein","C1+",1,"positive"
"prot__TraesCAD_scaffold_018483_01G000300","TraesCAD_scaffold_018483_01G000300","protein","C1-",1,"negative"
