"uid","feature","block","cluster","comp","sign"
"prot__TraesNOR4B03G02257240","TraesNOR4B03G02257240","protein","C2+",2,"positive"
"prot__TraesNOR4B03G02258550","TraesNOR4B03G02258550","protein","C2-",2,"negative"
"prot__TraesNOR4B03G02258750","TraesNOR4B03G02258750","protein","C1-",1,"negative"
"prot__TraesNOR4B03G02261560","TraesNOR4B03G02261560","protein","C2+",2,"positive"
"prot__TraesNOR4B03G02263030","TraesNOR4B03G02263030","protein","C2+",2,"positive"
"prot__TraesNOR4B03G02263170","TraesNOR4B03G02263170","protein","C1+",1,"positive"
"prot__TraesNOR4B03G02265410","TraesNOR4B03G02265410","protein","C2+",2,"positive"
"prot__TraesNOR4B03G02266190","TraesNOR4B03G02266190","protein","C1-",1,"negative"
"prot__TraesNOR4B03G02270860","TraesNOR4B03G02270860","protein","C1-",1,"negative"
"prot__TraesNOR4B03G02271540","TraesNOR4B03G02271540","protein","C2+",2,"positive"
"prot__TraesNOR4B03G02272500","TraesNOR4B03G02272500","protein","C1+",1,"positive"
"prot__TraesNOR4B03G02275140","TraesNOR4B03G02275140","protein","C2+",2,"positive"
"prot__TraesNOR4B03G02279120","TraesNOR4B03G02279120","protein","C2-",2,"negative"
"prot__TraesNOR4B03G02280620","TraesNOR4B03G02280620","protein","C2+",2,"positive"
"prot__TraesNOR4B03G02280910","TraesNOR4B03G02280910","protein","C1-",1,"negative"
"prot__TraesNOR4B03G02284360","TraesNOR4B03G02284360","protein","C2+",2,"positive"
"prot__TraesNOR4B03G02289280","TraesNOR4B03G02289280","protein","C2+",2,"positive"
"prot__TraesNOR4B03G02292890","TraesNOR4B03G02292890","protein","C2+",2,"positive"
"prot__TraesNOR4B03G02292920","TraesNOR4B03G02292920","protein","C1-",1,"negative"
"prot__TraesNOR4B03G02295480","TraesNOR4B03G02295480","protein","C2-",2,"negative"
"prot__TraesNOR4B03G02296320","TraesNOR4B03G02296320","protein","C1-",1,"negative"
"prot__TraesNOR4B03G02298040","TraesNOR4B03G02298040","protein","C1-",1,"negative"
"prot__TraesNOR4B03G02299120","TraesNOR4B03G02299120","protein","C1-",1,"negative"
"prot__TraesNOR4B03G02299280","TraesNOR4B03G02299280","protein","C1-",1,"negative"
"prot__TraesNOR4B03G02299450","TraesNOR4B03G02299450","protein","C1-",1,"negative"
"prot__TraesNOR4B03G02299460","TraesNOR4B03G02299460","protein","C1-",1,"negative"
"prot__TraesNOR4B03G02301480","TraesNOR4B03G02301480","protein","C1-",1,"negative"
"prot__TraesNOR4B03G02309040","TraesNOR4B03G02309040","protein","C2+",2,"positive"
"prot__TraesNOR4B03G02315770","TraesNOR4B03G02315770","protein","C1-",1,"negative"
"prot__TraesNOR4B03G02316810","TraesNOR4B03G02316810","protein","C2+",2,"positive"
"prot__TraesNOR4B03G02322330","TraesNOR4B03G02322330","protein","C1-",1,"negative"
"prot__TraesNOR4B03G02333210","TraesNOR4B03G02333210","protein","C1-",1,"negative"
"prot__TraesNOR4B03G02333580","TraesNOR4B03G02333580","protein","C1-",1,"negative"
"prot__TraesNOR4B03G02336270","TraesNOR4B03G02336270","protein","C1-",1,"negative"
"prot__TraesNOR4B03G02336960","TraesNOR4B03G02336960","protein","C1+",1,"positive"
"prot__TraesNOR4B03G02337780","TraesNOR4B03G02337780","protein","C2+",2,"positive"
"prot__TraesNOR4B03G02338560","TraesNOR4B03G02338560","protein","C1+",1,"positive"
"prot__TraesNOR4B03G02342290","TraesNOR4B03G02342290","protein","C1+",1,"positive"
"prot__TraesNOR4B03G02344400","TraesNOR4B03G02344400","protein","C2-",2,"negative"
"prot__TraesNOR4B03G02346570","TraesNOR4B03G02346570","protein","C2+",2,"positive"
